업종,상호,소재지(도로명)
국내여행업,주식회사 대성관광,"서울특별시 광진구 광나루로 346, 501호 (화양동, 브라운스톤 화양)"
국내여행업,(주)승진투어,"서울특별시 광진구 뚝섬로 742, 301호 (구의동,광성빌딩)"
국내여행업,(주)쏙쏙,"서울특별시 광진구 천호대로 608, 원빌딩 4층 403호 (능동)"
국내여행업,(주)하나토탈여행사,서울특별시 광진구 능동로 413 (중곡동)
국내여행업,(주)세계문화투어,서울특별시 광진구 아차산로 373 (구의동)
국내여행업,(주)성하투어,"서울특별시 광진구 아차산로 431, 102동 314호 (구의동, 강변SK뷰오피스텔)"
국내여행업,(주)유쾌한여행,"서울특별시 광진구 아차산로78길 110, 303호 (광장동)"
국내여행업,(주)천하에이스,"서울특별시 광진구 아차산로78길 110, 303호 (광장동)"
국내여행업,그린에프앤지(그린골프투어),서울특별시 광진구 광나루로46길 9 (구의동)
국내여행업,(주)세정여행사,"서울특별시 광진구 영화사로7길 4, 101호 (중곡동, 삼보드림아파트)"
국내여행업,데이아웃,"서울특별시 광진구 자양로 126, 성지하이츠 302호 (구의동)"
국내여행업,(주)동서울여행사,"서울특별시 광진구 강변역로 50, 231호 (구의동, 동서울터미널빌딩)"
국내여행업,스테이원,"서울특별시 광진구 아차산로 375, B1층 504호 (구의동, 크레신타워3)"
국내여행업,(주)누림여행사,"서울특별시 광진구 천호대로 607, 3층 (중곡동, 율림빌딩)"
국내여행업,호텔오케이,"서울특별시 광진구 아차산로 375, 크레신타워3차 B1층 101호 (구의동)"
국내여행업,(주)명보투어앤에듀,"서울특별시 광진구 능동로 266, 광정빌딩 2층 216-6호 (능동)"
국내여행업,용진신행회,"서울특별시 광진구 자양번영로11길 10-8, 1층 101호 (자양동)"
국내여행업,(주)인그립코리아,"서울특별시 광진구 아차산로 614, 3층 (광장동)"
국내여행업,서울두레관광 주식회사,"서울특별시 광진구 천호대로 607, 율림빌딩 3층 (중곡동)"
국내여행업,(주)에스엠트래블,"서울특별시 광진구 천호대로119길 53, 101호 (중곡동)"
국내여행업,신세기여행사,"서울특별시 광진구 동일로18길 78, 1층 (자양동)"
국내여행업,주식회사 비즈공감,"서울특별시 광진구 자양로13길 8, 9층 901호 (자양동, 아스하임)"
국내여행업,(주)페니엔터테인먼트,"서울특별시 광진구 용마산로 38, 2층 201-1호 (중곡동)"
국내여행업,주식회사 투어커뮤니케이션,"서울특별시 광진구 자양로 126, 성지하이츠 7층 710호 (구의동)"
국내여행업,청춘라떼,"서울특별시 광진구 아차산로30길 36, 서울특별시 동부여성발전센타 2층 204호 (자양동)"
국내외여행업,프로페셔널투어(주),"서울특별시 광진구 군자로 121, 세종대학교 우정당 1층 (군자동)"
국내외여행업,(주) 이유 트래블 서비스,서울특별시 광진구 긴고랑로 25 (중곡동)
국내외여행업,(주)승진투어,"서울특별시 광진구 뚝섬로 742, 301호 (구의동,광성빌딩)"
국내외여행업,(주)하나토탈여행사,서울특별시 광진구 능동로 413 (중곡동)
국내외여행업,(주)투어아트(국외),"서울특별시 광진구 광나루로56길 85, 9층 28호 (구의동, 테크노마트)"
국내외여행업,(주)세계문화투어,서울특별시 광진구 아차산로 373 (구의동)
국내외여행업,(주)유쾌한여행,"서울특별시 광진구 아차산로78길 110, 303호 (광장동)"
국내외여행업,(주)천하에이스,"서울특별시 광진구 아차산로78길 110, 303호 (광장동)"
국내외여행업,(주)한투어리스트,"서울특별시 광진구 아차산로 413, 203호 (구의동)"
국내외여행업,(주)동원투어,"서울특별시 광진구 아차산로36길 5, 6층 (자양동, 건대동문회관)"
국내외여행업,메가투어,"서울특별시 광진구 구의강변로 79, 1층 (구의동)"
국내외여행업,(주)아이웨이여행사,"서울특별시 광진구 아차산로 379, 500호 (구의동, 송산빌딩)"
국내외여행업,(주)여행그리다,"서울특별시 광진구 아차산로 378, 342호 (자양동, 한승빌딩)"
국내외여행업,데이아웃,"서울특별시 광진구 자양로 126, 성지하이츠 302호 (구의동)"
국내외여행업,(주)동서울여행사,"서울특별시 광진구 강변역로 50, 231호 (구의동, 동서울터미널빌딩)"
국내외여행업,하나월드,"서울특별시 광진구 능동로38길 27, SUN S 빌딩 2층 208호 (중곡동)"
국내외여행업,대신여행사,서울특별시 광진구 뚝섬로27길 47 (자양동)
국내외여행업,(주)지에스투어,"서울특별시 광진구 아차산로78길 110, 508호 (광장동, 리버힐오피스텔)"
국내외여행업,(주)누림여행사,"서울특별시 광진구 천호대로 607, 3층 (중곡동, 율림빌딩)"
국내외여행업,더출발,서울특별시 광진구 군자로 26 (화양동)
국내외여행업,(주)마인드투어,"서울특별시 광진구 능동로19길 47, 화양타워 722호 (화양동)"
국내외여행업,(주)에이치세븐,"서울특별시 광진구 동일로60길 14, 2층 (군자동)"
국내외여행업,키르기즈에어,"서울특별시 광진구 동일로 218, 제이와이타워 4층 (군자동)"
국내외여행업,(주)블루밍트레블,"서울특별시 광진구 광나루로 416, 건회빌딩 지하1층 (화양동)"
국내외여행업,주식회사 일성티엔씨,"서울특별시 광진구 광나루로56길 85, 테크노-마트21 1301호 (구의동)"
국내외여행업,(주)명보투어앤에듀,"서울특별시 광진구 능동로 266, 광정빌딩 2층 216-6호 (능동)"
국내외여행업,(주)여행몰,"서울특별시 광진구 아차산로 431, 101동 209호 (구의동, 강변에스케이뷰)"
국내외여행업,에이페이지 아이앤씨,"서울특별시 광진구 자양로 73, 동원빌딩 4층 502호 (자양동)"
국내외여행업,빌리언,"서울특별시 광진구 자양로15길 105-5, 401호 (자양동, 크로마하우스)"
국내외여행업,구름,"서울특별시 광진구 광나루로 369, 1층 120호 (군자동, 광진두산위브파크)"
국내외여행업,T 리더투어,"서울특별시 광진구 자양로18길 91, 잔솔빌딩 4층 407호 (구의동)"
국내외여행업,편안탑항공,"서울특별시 광진구 광나루로 416, 건회빌딩 지층 (화양동)"
국내외여행업,(주)허니문리더,"서울특별시 광진구 능동로19길 47, 화양타워 722호 (화양동)"
국내외여행업,(주)인그립코리아,"서울특별시 광진구 아차산로 614, 3층 (광장동)"
국내외여행업,(주)료칸클럽닷컴,"서울특별시 광진구 광나루로56길 85, 테크노-마트21 사무동 18층 14호 (구의동)"
국내외여행업,(주)에스엠트래블,"서울특별시 광진구 천호대로119길 53, 101호 (중곡동)"
국내외여행업,(주)더 케이투어,"서울특별시 광진구 광나루로 486, 센트럴빌 4층 414호 (구의동)"
국내외여행업,이케이여행사 주식회사,"서울특별시 광진구 능동로 344, 동진빌딩 700호 (중곡동)"
국내외여행업,(주)연우투어,"서울특별시 광진구 광나루로 416, 건회빌딩 지층 (화양동)"
국내외여행업,(주)맵헤드트레블,"서울특별시 광진구 광나루로 358, 화양 디펠리체 17층 1705호 (화양동)"
국내외여행업,주식회사 투어커뮤니케이션,"서울특별시 광진구 자양로 126, 성지하이츠 7층 710호 (구의동)"
국내외여행업,(주)세주여행사,"서울특별시 광진구 능동로 69, 비1층 110호 (자양동, 자양 호반써밋)"
관광숙박업,동서울 관광호텔,서울특별시 광진구 구의강변로 38 (구의동)
관광숙박업,SK 네트웍스 (주) 워커힐,서울특별시 광진구 워커힐로 177 (광장동)
관광숙박업,더 클래식 500 펜타즈,서울특별시 광진구 능동로 90 (자양동)
관광숙박업,호텔 컬리넌 건대,서울특별시 광진구 동일로 212 (군자동)
관광숙박업,호텔더디자이너스건대,서울특별시 광진구 천호대로 521 (중곡동)
관광숙박업,호텔부티크나인,서울특별시 광진구 천호대로 560 (능동)
관광숙박업,호텔컬리넌건대2,서울특별시 광진구 동일로 214 (군자동)
관광숙박업,에이치 에비뉴 건대점,서울특별시 광진구 동일로 156 (화양동)
관광숙박업,호텔더디자이너스프리미어건대,서울특별시 광진구 동일로 172 (화양동)
관광숙박업,휴호스텔,"서울특별시 광진구 자양로18길 26, 4층 (구의동)"
관광숙박업,호텔케이월드,"서울특별시 광진구 동일로 90, 호텔케이월드 (자양동)"
관광숙박업,나무호텔,서울특별시 광진구 아차산로76가길 12 (광장동)
종합여행업,한아름금오관광(주),"서울특별시 광진구 강변역로4길 68, 리젠트오피스텔 B102호 (구의동)"
종합여행업,하나패밀리투어,"서울특별시 광진구 자양로 116, 104호 (구의동, 웰츠타워)"
종합여행업,(주)하나리더투어,"서울특별시 광진구 군자로 70, 동일흥업주식회사 303호 (군자동)"
종합여행업,(주)파우제,"서울특별시 광진구 아차산로 563, 대한제지(주) 사옥 201호 (광장동)"
종합여행업,(주)현대관광,"서울특별시 광진구 천호대로 629, 3층 (중곡동, 대영빌딩)"
종합여행업,주식회사 한국학생여행(KS TOUR),"서울특별시 광진구 아차산로78길 110, 508호 (광장동)"
종합여행업,(주)유토피아퓨처,"서울특별시 광진구 광나루로56길 85, 테크노-마트21 32층 12호 (구의동)"
종합여행업,서울메이트(Seoul Mate),"서울특별시 광진구 아차산로 378, 373호 (자양동, 한승빌딩)"
종합여행업,(주)골프파크,"서울특별시 광진구 자양로 126, 성지하이츠 710호 (구의동)"
종합여행업,(주)잡플러스,"서울특별시 광진구 광나루로15길 7-4, 5층 (군자동)"
종합여행업,(주)여행모아,"서울특별시 광진구 아차산로 214, 4층 (자양동)"
종합여행업,주식회사 한길국제여행사,"서울특별시 광진구 용마산로 53, 101호 (중곡동)"
종합여행업,프리가트,"서울특별시 광진구 자양로 116, 821호 (구의동, 웰츠타워)"
종합여행업,(주)대성아이엠지코리아,"서울특별시 광진구 구의강변로 38, 동서울호텔 지하2층 201호 (구의동)"
종합여행업,낙신여행사,"서울특별시 광진구 아차산로78길 44, 크레스코빌딩 7층 811호 (광장동)"
종합여행업,(주)힐빙투어,"서울특별시 광진구 영화사로 3, 2층 (중곡동)"
종합여행업,제주투어몰,"서울특별시 광진구 아차산로 431, 101동 209호 (구의동, 강변에스케이뷰)"
종합여행업,트랄랄라 투어,"서울특별시 광진구 능동로37길 6, 3층 302호 (중곡동)"
종합여행업,비마이컨시어지(주),"서울특별시 광진구 아차산로 355, 타워더모스트광진아크로텔 3층 305호 (자양동)"
종합여행업,(주)도성국제,"서울특별시 광진구 아차산로78길 44, 크레스코빌딩 710호 (광장동)"
종합여행업,(주)티에프티 글로벌(TFT Global),"서울특별시 광진구 천호대로 569, 4층 402호 (중곡동)"
종합여행업,트립위드,"서울특별시 광진구 자양번영로13길 6, 102호 (자양동)"
종합여행업,(주)지극히주관적인여행,"서울특별시 광진구 동일로34길 31, 201호 (군자동)"
종합여행업,주식회사 다모아코리아,"서울특별시 광진구 능동로11길 8-5, 폴라리스 빌딩 6층 601호 (화양동)"
종합여행업,주식회사 현운서비스,"서울특별시 광진구 능동로 327, 501호 (중곡동)"
종합여행업,Stunning Korea,"서울특별시 광진구 광나루로 416, 건회빌딩 지층 (화양동)"
종합여행업,티에스엠 주식회사,"서울특별시 광진구 용마산로32길 5, 티에스엠 주식회사 (중곡동)"
종합여행업,유브렌디,"서울특별시 광진구 동일로56길 37, 1층 102호 (군자동)"
종합여행업,숨은 지구 찾기,"서울특별시 광진구 능동로 245, 무중력지대 3층 (군자동)"
종합여행업,주식회사 투리스타,"서울특별시 광진구 자양로 116, 1408호 (구의동, 웰츠타워)"
종합여행업,(주)안심국제,"서울특별시 광진구 용마산로28길 51, 301호 (중곡동, SKY 17)"
종합여행업,안나투어주식회사,"서울특별시 광진구 자양로18길 96, 베스트트레드빌 506-12호 (구의동)"
종합여행업,(주)투게더투어코리아,"서울특별시 광진구 뚝섬로43길 28, 지층 02호 (자양동, 세림에버빌3차)"
종합여행업,골프맨,"서울특별시 광진구 자양로 126, 성지하이츠 7층 710호 (구의동)"
종합여행업,(주)인포랑,"서울특별시 광진구 광나루로56길 85, 테크노-마트21 31층 3,4호 (구의동)"
종합여행업,주식회사 씨엔피위너스,"서울특별시 광진구 아차산로78길 44, 크레스코빌딩 3층 315호 (광장동)"
종합여행업,(주)비티앤아이그룹,"서울특별시 광진구 아차산로 355, 타워더모스트광진아크로텔 3층 305호 (자양동)"
종합여행업,티티에스 주식회사,"서울특별시 광진구 광나루로 361, 101동 213호 (군자동, 광진 동양파라곤 1단지)"
종합여행업,주식회사 케이이티에이,"서울특별시 광진구 아차산로 375, 크레신타워3차 비321호 (구의동)"
종합여행업,주식회사 비즈공감,"서울특별시 광진구 자양로13길 8, 9층 (자양동, 아스하임)"
관광공연장업,SK 네트웍스(주) 워커힐 씨어터,서울특별시 광진구 워커힐로 177 (광장동)
관광공연장업,동서울아트홀,"서울특별시 광진구 구의강변로 38  (구의동,동서울관광호텔 지하2층)"
외국인관광 도시민박업,친친스테이(Chinchin Stay),서울특별시 광진구 자양번영로5길 37-1 (자양동)
외국인관광 도시민박업,줄라이(July),"서울특별시 광진구 뚝섬로60길 4-10, 201호 (자양동, 스카이빌)"
외국인관광 도시민박업,River Side,서울특별시 광진구 뚝섬로 702-4 (자양동)
외국인관광 도시민박업,SB하우스,서울특별시 광진구 광나루로30가길 7-8 (구의동)
외국인관광 도시민박업,아늑공간,"서울특별시 광진구 자양로44나길 17, 지층 (구의동, 솔라빌리지)"
외국인관광 도시민박업,자양토박이네(Jayang Tobak's House),서울특별시 광진구 자양번영로7길 16-7 (자양동)
외국인관광 도시민박업,Konkuk univ cozy house,"서울특별시 광진구 아차산로26길 17-6, 202호 (자양동, 트윈빌)"
외국인관광 도시민박업,파랑새 하우스(Bluebird house),"서울특별시 광진구 동일로26길 33, 102호 (화양동)"
외국인관광 도시민박업,게스트하우스 브릭핸즈,"서울특별시 광진구 능동로16길 50-7, 401호 (화양동, BRICK HANDS-7)"
외국인관광 도시민박업,이모네하우스,"서울특별시 광진구 자양로15길 108, 400호 (자양동)"
외국인관광 도시민박업,Joeng Stay,"서울특별시 광진구 자양번영로1길 31-10, 스튜디오 안 501호 (자양동)"
외국인관광 도시민박업,릴릴레지던스 1,서울특별시 광진구 용마산로 6-10 (중곡동)
외국인관광 도시민박업,릴릴레지던스 2,서울특별시 광진구 용마산로 6-10 (중곡동)
외국인관광 도시민박업,삼삼 게스트하우스,"서울특별시 광진구 광나루로20가길 5, 101호 (화양동)"
한옥체험업,육영재단 어린이회관,서울특별시 광진구 광나루로 441 (능동)
국제회의기획업,(주)에스인기획,"서울특별시 광진구 능동로36길 9  (능동,경도빌딩 3층)"
국제회의기획업,코드컴퍼니,서울특별시 광진구 천호대로141길 6 (광장동)
국제회의기획업,(주)엑스코그룹코리아,
국제회의기획업,티에스엠 주식회사,서울특별시 광진구 용마산로32길 5 (중곡동)
국제회의기획업,앰비애드에이(주),서울특별시 광진구 면목로 41 (군자동)
국제회의기획업,에이비프로(주),"서울특별시 광진구 아차산로78길 44, 705호 (광장동)"
국제회의기획업,(주)루트엔코,"서울특별시 광진구 광나루로 450, 302호 (화양동, 매스터빌딩)"
국제회의기획업,(주)컨빈코리아,서울특별시 광진구 용마산로32길 5 (중곡동)
국제회의기획업,주식회사 메드랑,"서울특별시 광진구 광나루로56길 85, 테크노-마트21 31층 (구의동)"
국제회의기획업,비마이컨시어지(주),"서울특별시 광진구 아차산로 355, 타워더모스트광진아크로텔 3층 305호 (자양동)"
국제회의기획업,주식회사 베네핏엠엔씨,"서울특별시 광진구 자양번영로11길 18, 302호 (자양동, 월튼 파크뷰 3차)"
국제회의기획업,(주)비티앤아이그룹,"서울특별시 광진구 아차산로 355, 타워더모스트광진아크로텔 305호 (자양동)"
국제회의시설업,에스케이네트웍스 주식회사 워커힐,"서울특별시 광진구 워커힐로 177, 워커힐호텔 (광장동)"
